x,rho(x),R(x),V(rho)
-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.979979979979979987e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.959959959959959974e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.939939939939939961e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.919919919919919948e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.899899899899899935e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.879879879879879923e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.859859859859859910e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.839839839839839897e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.819819819819819884e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.799799799799799871e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.779779779779779858e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.759759759759759845e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.739739739739739832e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.719719719719719819e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.699699699699699806e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.679679679679679793e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.659659659659659781e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.639639639639639768e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.619619619619619755e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.599599599599599742e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.579579579579579729e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
